Date,Open,High,Low,Close,Adj Close,Volume
26-12-22,"₹ 17,830.40","₹ 18,084.10","₹ 17,774.25","₹ 18,014.60","₹ 18,014.60",176700
27-12-22,"₹ 18,089.80","₹ 18,149.25","₹ 17,967.45","₹ 18,132.30","₹ 18,132.30",214300
28-12-22,"₹ 18,084.75","₹ 18,173.10","₹ 18,068.35","₹ 18,122.50","₹ 18,122.50",193900
29-12-22,"₹ 18,045.70","₹ 18,229.70","₹ 17,992.80","₹ 18,191.00","₹ 18,191.00",281100
30-12-22,"₹ 18,259.10","₹ 18,265.25","₹ 18,080.30","₹ 18,105.30","₹ 18,105.30",192000
02-01-23,"₹ 18,131.70","₹ 18,215.15","₹ 18,086.50","₹ 18,197.45","₹ 18,197.45",256100
03-01-23,"₹ 18,163.20","₹ 18,251.95","₹ 18,149.80","₹ 18,232.55","₹ 18,232.55",208700
04-01-23,"₹ 18,230.65","₹ 18,243.00","₹ 18,020.60","₹ 18,042.95","₹ 18,042.95",235200
05-01-23,"₹ 18,101.95","₹ 18,120.30","₹ 17,892.60","₹ 17,992.15","₹ 17,992.15",269900
06-01-23,"₹ 18,008.05","₹ 18,047.40","₹ 17,795.55","₹ 17,859.45","₹ 17,859.45",238200
09-01-23,"₹ 17,952.55","₹ 18,141.40","₹ 17,936.15","₹ 18,101.20","₹ 18,101.20",257200
10-01-23,"₹ 18,121.30","₹ 18,127.60","₹ 17,856.00","₹ 17,914.15","₹ 17,914.15",283300
11-01-23,"₹ 17,924.25","₹ 17,976.35","₹ 17,824.35","₹ 17,895.70","₹ 17,895.70",259900
12-01-23,"₹ 17,920.85","₹ 17,945.80","₹ 17,761.65","₹ 17,858.20","₹ 17,858.20",227800
13-01-23,"₹ 17,867.50","₹ 17,999.35","₹ 17,774.25","₹ 17,956.60","₹ 17,956.60",256700
16-01-23,"₹ 18,033.15","₹ 18,049.65","₹ 17,853.65","₹ 17,894.85","₹ 17,894.85",206200
17-01-23,"₹ 17,922.80","₹ 18,072.05","₹ 17,886.95","₹ 18,053.30","₹ 18,053.30",219100
18-01-23,"₹ 18,074.30","₹ 18,183.75","₹ 18,032.45","₹ 18,165.35","₹ 18,165.35",255800
19-01-23,"₹ 18,119.80","₹ 18,155.20","₹ 18,063.75","₹ 18,107.85","₹ 18,107.85",237800
20-01-23,"₹ 18,115.60","₹ 18,145.45","₹ 18,016.20","₹ 18,027.65","₹ 18,027.65",237200
23-01-23,"₹ 18,118.45","₹ 18,162.60","₹ 18,063.45","₹ 18,118.55","₹ 18,118.55",202500
24-01-23,"₹ 18,183.95","₹ 18,201.25","₹ 18,078.65","₹ 18,118.30","₹ 18,118.30",216900
25-01-23,"₹ 18,093.35","₹ 18,100.60","₹ 17,846.15","₹ 17,891.95","₹ 17,891.95",257200
27-01-23,"₹ 17,877.20","₹ 17,884.75","₹ 17,493.55","₹ 17,604.35","₹ 17,604.35",476300
30-01-23,"₹ 17,541.95","₹ 17,709.15","₹ 17,405.55","₹ 17,648.95","₹ 17,648.95",432400
31-01-23,"₹ 17,731.45","₹ 17,735.70","₹ 17,537.55","₹ 17,662.15","₹ 17,662.15",398300
01-02-23,"₹ 17,811.60","₹ 17,972.20","₹ 17,353.40","₹ 17,616.30","₹ 17,616.30",512900
02-02-23,"₹ 17,517.10","₹ 17,653.90","₹ 17,445.95","₹ 17,610.40","₹ 17,610.40",490100
03-02-23,"₹ 17,721.75","₹ 17,870.30","₹ 17,584.20","₹ 17,854.05","₹ 17,854.05",424100
06-02-23,"₹ 17,818.55","₹ 17,823.70","₹ 17,698.35","₹ 17,764.60","₹ 17,764.60",282500
07-02-23,"₹ 17,790.10","₹ 17,811.15","₹ 17,652.55","₹ 17,721.50","₹ 17,721.50",354400
08-02-23,"₹ 17,750.30","₹ 17,898.70","₹ 17,744.15","₹ 17,871.70","₹ 17,871.70",291000
09-02-23,"₹ 17,885.50","₹ 17,916.90","₹ 17,779.80","₹ 17,893.45","₹ 17,893.45",260900
10-02-23,"₹ 17,847.55","₹ 17,876.95","₹ 17,801.00","₹ 17,856.50","₹ 17,856.50",232000
13-02-23,"₹ 17,859.10","₹ 17,880.70","₹ 17,719.75","₹ 17,770.90","₹ 17,770.90",231300
14-02-23,"₹ 17,840.35","₹ 17,954.55","₹ 17,800.05","₹ 17,929.85","₹ 17,929.85",244500
15-02-23,"₹ 17,896.60","₹ 18,034.10","₹ 17,853.80","₹ 18,015.85","₹ 18,015.85",229300
16-02-23,"₹ 18,094.75","₹ 18,134.75","₹ 18,000.65","₹ 18,035.85","₹ 18,035.85",230200
17-02-23,"₹ 17,974.85","₹ 18,034.25","₹ 17,884.60","₹ 17,944.20","₹ 17,944.20",208100
20-02-23,"₹ 17,965.55","₹ 18,004.35","₹ 17,818.40","₹ 17,844.60","₹ 17,844.60",174600
21-02-23,"₹ 17,905.80","₹ 17,924.90","₹ 17,800.30","₹ 17,826.70","₹ 17,826.70",198200
22-02-23,"₹ 17,755.35","₹ 17,772.50","₹ 17,529.45","₹ 17,554.30","₹ 17,554.30",204000
23-02-23,"₹ 17,574.65","₹ 17,620.05","₹ 17,455.40","₹ 17,511.25","₹ 17,511.25",240800
24-02-23,"₹ 17,591.35","₹ 17,599.75","₹ 17,421.80","₹ 17,465.80","₹ 17,465.80",209400
27-02-23,"₹ 17,428.60","₹ 17,451.60","₹ 17,299.00","₹ 17,392.70","₹ 17,392.70",246400
28-02-23,"₹ 17,383.25","₹ 17,440.45","₹ 17,255.20","₹ 17,303.95","₹ 17,303.95",420900
01-03-23,"₹ 17,360.10","₹ 17,467.75","₹ 17,345.25","₹ 17,450.90","₹ 17,450.90",272900
02-03-23,"₹ 17,421.50","₹ 17,445.80","₹ 17,306.00","₹ 17,321.90","₹ 17,321.90",310700
03-03-23,"₹ 17,451.25","₹ 17,644.75","₹ 17,427.70","₹ 17,594.35","₹ 17,594.35",356200
06-03-23,"₹ 17,680.35","₹ 17,799.95","₹ 17,671.95","₹ 17,711.45","₹ 17,711.45",362800
08-03-23,"₹ 17,665.75","₹ 17,766.50","₹ 17,602.25","₹ 17,754.40","₹ 17,754.40",267000
09-03-23,"₹ 17,772.05","₹ 17,772.35","₹ 17,573.60","₹ 17,589.60","₹ 17,589.60",262400
10-03-23,"₹ 17,443.80","₹ 17,451.50","₹ 17,324.35","₹ 17,412.90","₹ 17,412.90",235900
13-03-23,"₹ 17,421.90","₹ 17,529.90","₹ 17,113.45","₹ 17,154.30","₹ 17,154.30",254900
14-03-23,"₹ 17,160.55","₹ 17,224.65","₹ 16,987.10","₹ 17,043.30","₹ 17,043.30",290600
15-03-23,"₹ 17,166.45","₹ 17,211.35","₹ 16,938.90","₹ 16,972.15","₹ 16,972.15",248200
16-03-23,"₹ 16,994.65","₹ 17,062.45","₹ 16,850.15","₹ 16,985.60","₹ 16,985.60",349800
17-03-23,"₹ 17,111.80","₹ 17,145.80","₹ 16,958.15","₹ 17,100.05","₹ 17,100.05",408100
20-03-23,"₹ 17,066.60","₹ 17,066.60","₹ 16,828.35","₹ 16,988.40","₹ 16,988.40",241800
21-03-23,"₹ 17,060.40","₹ 17,127.70","₹ 17,016.00","₹ 17,107.50","₹ 17,107.50",246700
22-03-23,"₹ 17,177.45","₹ 17,207.25","₹ 17,107.85","₹ 17,151.90","₹ 17,151.90",0
23-03-23,"₹ 17,097.40","₹ 17,205.40","₹ 17,045.30","₹ 17,076.90","₹ 17,076.90",219200
24-03-23,"₹ 17,076.20","₹ 17,109.45","₹ 16,917.35","₹ 16,945.05","₹ 16,945.05",228000
27-03-23,"₹ 16,984.30","₹ 17,091.00","₹ 16,918.55","₹ 16,985.70","₹ 16,985.70",218400
28-03-23,"₹ 17,031.75","₹ 17,061.75","₹ 16,913.75","₹ 16,951.70","₹ 16,951.70",238800
29-03-23,"₹ 16,977.30","₹ 17,126.15","₹ 16,940.60","₹ 17,080.70","₹ 17,080.70",345900
31-03-23,"₹ 17,210.35","₹ 17,381.60","₹ 17,204.65","₹ 17,359.75","₹ 17,359.75",263900
03-04-23,"₹ 17,427.95","₹ 17,428.05","₹ 17,312.75","₹ 17,398.05","₹ 17,398.05",230200
05-04-23,"₹ 17,422.30","₹ 17,570.55","₹ 17,402.70","₹ 17,557.05","₹ 17,557.05",248300
06-04-23,"₹ 17,533.85","₹ 17,638.70","₹ 17,502.85","₹ 17,599.15","₹ 17,599.15",242700
10-04-23,"₹ 17,634.90","₹ 17,694.10","₹ 17,597.95","₹ 17,624.05","₹ 17,624.05",254800
11-04-23,"₹ 17,704.80","₹ 17,748.75","₹ 17,655.15","₹ 17,722.30","₹ 17,722.30",304300
12-04-23,"₹ 17,759.55","₹ 17,825.75","₹ 17,717.25","₹ 17,812.40","₹ 17,812.40",232800
13-04-23,"₹ 17,807.30","₹ 17,842.15","₹ 17,729.65","₹ 17,828.00","₹ 17,828.00",285800
17-04-23,"₹ 17,863.00","₹ 17,863.00","₹ 17,574.05","₹ 17,706.85","₹ 17,706.85",357400
18-04-23,"₹ 17,766.60","₹ 17,766.60","₹ 17,610.20","₹ 17,660.15","₹ 17,660.15",258900
19-04-23,"₹ 17,653.35","₹ 17,666.15","₹ 17,579.85","₹ 17,618.75","₹ 17,618.75",281500
20-04-23,"₹ 17,638.60","₹ 17,684.45","₹ 17,584.35","₹ 17,624.45","₹ 17,624.45",215100
