Date,Open,High,Low,Close,Adj Close,Volume
27-12-22,"₹ 42,827.75","₹ 42,927.20","₹ 42,394.15","₹ 42,859.50","₹ 42,859.00",229600
28-12-22,"₹ 42,733.60","₹ 43,034.95","₹ 42,694.85","₹ 42,827.70","₹ 42,827.20",230500
29-12-22,"₹ 42,684.90","₹ 43,498.05","₹ 42,489.80","₹ 43,252.35","₹ 43,251.85",308300
30-12-22,"₹ 43,401.70","₹ 43,422.95","₹ 42,833.10","₹ 42,986.45","₹ 42,985.95",258700
02-01-23,"₹ 43,038.25","₹ 43,382.75","₹ 42,961.75","₹ 43,203.10","₹ 43,203.10",1798102100
03-01-23,"₹ 43,151.45","₹ 43,482.80","₹ 43,148.45","₹ 43,425.25","₹ 43,425.25",197000
04-01-23,"₹ 43,417.50","₹ 43,578.40","₹ 42,858.65","₹ 42,958.80","₹ 42,958.80",216800
05-01-23,"₹ 43,073.05","₹ 43,137.55","₹ 42,298.60","₹ 42,608.70","₹ 42,608.70",189100
06-01-23,"₹ 42,649.70","₹ 42,685.90","₹ 41,877.00","₹ 42,188.80","₹ 42,188.80",195100
09-01-23,"₹ 42,404.85","₹ 42,716.80","₹ 42,186.55","₹ 42,582.75","₹ 42,582.75",161800
10-01-23,"₹ 42,642.00","₹ 42,674.25","₹ 41,835.75","₹ 42,014.75","₹ 42,014.75",179300
11-01-23,"₹ 42,071.85","₹ 42,318.00","₹ 41,729.00","₹ 42,232.70","₹ 42,232.70",169800
12-01-23,"₹ 42,238.50","₹ 42,343.50","₹ 41,742.95","₹ 42,082.25","₹ 42,082.25",154100
13-01-23,"₹ 42,171.25","₹ 42,453.95","₹ 41,885.60","₹ 42,371.25","₹ 42,371.25",205500
16-01-23,"₹ 42,622.50","₹ 42,715.65","₹ 42,066.55","₹ 42,167.55","₹ 42,167.55",312300
17-01-23,"₹ 42,241.20","₹ 42,383.80","₹ 41,861.10","₹ 42,235.05","₹ 42,235.05",256300
18-01-23,"₹ 42,271.80","₹ 42,555.90","₹ 42,119.65","₹ 42,458.00","₹ 42,458.00",170500
19-01-23,"₹ 42,416.30","₹ 42,506.25","₹ 42,234.90","₹ 42,328.85","₹ 42,328.85",143400
20-01-23,"₹ 42,516.05","₹ 42,709.20","₹ 42,366.15","₹ 42,506.80","₹ 42,506.80",159100
